                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.5488,                 4.0971,                 1.7869,                0.68467,                0.47813,                0.59074,                0.29462,                 1.8252,                 5.2698,                 2.1212,             0.00076735,             0.00076735,             0.00076735
                     50,                 1.5114,                 4.0493,                 1.7631,                0.87518,                0.46887,                0.56332,                 0.2837,                 1.8485,                 5.9049,                 2.1514,              0.0007624,              0.0007624,              0.0007624
                     51,                 1.5189,                 4.0445,                 1.7744,                0.85441,                  0.483,                 0.5864,                0.27576,                 1.8553,                 5.9814,                 2.1644,             0.00075745,             0.00075745,             0.00075745
                     52,                 1.5143,                 3.8741,                 1.7541,                0.81793,                0.47799,                0.59836,                0.29257,                 1.8288,                 5.3933,                 2.1539,              0.0007525,              0.0007525,              0.0007525
                     53,                 1.5253,                  3.957,                 1.7835,                 0.6848,                0.55013,                0.60068,                0.29318,                 1.8417,                 5.0796,                 2.1197,             0.00074755,             0.00074755,             0.00074755
                     54,                 1.5323,                 3.9012,                 1.7667,                0.69333,                0.58153,                0.62695,                0.30938,                 1.7983,                  5.441,                 2.0982,              0.0007426,              0.0007426,              0.0007426
                     55,                 1.4943,                 3.9532,                  1.762,                0.70664,                0.53944,                 0.5854,                0.28752,                 1.8181,                  5.434,                 2.0806,             0.00073765,             0.00073765,             0.00073765
                     56,                 1.4706,                 3.7943,                 1.7389,                0.74664,                0.54737,                0.61835,                0.31511,                 1.8448,                 5.0746,                 2.1057,              0.0007327,              0.0007327,              0.0007327
                     57,                 1.5045,                 3.8331,                 1.7428,                0.72299,                 0.5097,                0.58246,                0.28598,                 1.8683,                  6.056,                  2.133,             0.00072775,             0.00072775,             0.00072775
                     58,                 1.4781,                 3.7711,                 1.7501,                 0.7408,                0.46691,                 0.5941,                0.30787,                 1.7088,                 5.5851,                 2.0177,              0.0007228,              0.0007228,              0.0007228
                     59,                 1.4872,                 3.8372,                 1.7488,                0.52057,                0.59782,                0.61023,                0.29711,                  1.779,                 4.8854,                 2.1034,             0.00071785,             0.00071785,             0.00071785
                     60,                  1.475,                 3.7666,                 1.7358,                0.87241,                0.46573,                0.57188,                0.27847,                 1.8393,                  6.425,                 2.1399,              0.0007129,              0.0007129,              0.0007129
                     61,                 1.4839,                 3.7426,                 1.7333,                0.73402,                0.57228,                0.64223,                0.32543,                 1.7798,                 4.9565,                 2.0824,             0.00070795,             0.00070795,             0.00070795
                     62,                 1.4605,                 3.6887,                 1.7266,                0.73169,                0.52856,                0.61662,                  0.314,                 1.8014,                 5.2905,                 2.0975,               0.000703,               0.000703,               0.000703
                     63,                 1.4689,                 3.7092,                 1.7109,                0.79789,                0.48028,                0.63158,                0.30609,                 1.8235,                 5.4581,                 2.1334,             0.00069805,             0.00069805,             0.00069805
                     64,                  1.474,                 3.7743,                 1.7486,                0.76946,                 0.4945,                0.59731,                  0.288,                  1.878,                 5.6651,                 2.1639,              0.0006931,              0.0006931,              0.0006931
                     65,                 1.4344,                 3.6482,                 1.7137,                0.68443,                0.49793,                0.61995,                0.30871,                 1.8235,                 5.2764,                 2.1147,             0.00068815,             0.00068815,             0.00068815
                     66,                  1.439,                  3.639,                 1.7031,                0.85275,                0.50962,                0.63743,                0.32049,                 1.7856,                 5.0683,                 2.1015,              0.0006832,              0.0006832,              0.0006832
                     67,                 1.4522,                 3.6572,                  1.721,                0.86382,                0.49249,                0.59693,                0.31193,                 1.7889,                 5.7319,                 2.1227,             0.00067825,             0.00067825,             0.00067825
                     68,                 1.4573,                 3.6921,                 1.7147,                0.79452,                0.49455,                0.59881,                  0.303,                 1.8275,                 5.8807,                  2.117,              0.0006733,              0.0006733,              0.0006733
                     69,                 1.4635,                 3.6152,                 1.7176,                0.69299,                0.47095,                0.58936,                 0.2905,                 1.8162,                 6.0606,                 2.1337,             0.00066835,             0.00066835,             0.00066835
                     70,                 1.4563,                 3.6239,                 1.7244,                0.77252,                0.54169,                0.63717,                0.32365,                 1.7327,                 4.6809,                 2.0519,              0.0006634,              0.0006634,              0.0006634
                     71,                  1.424,                 3.6014,                 1.6904,                0.76493,                0.50106,                0.60023,                0.30852,                 1.7627,                 5.3075,                 2.0699,             0.00065845,             0.00065845,             0.00065845
                     72,                   1.44,                 3.5795,                  1.698,                0.78606,                 0.5104,                0.58605,                0.30057,                 1.8602,                 5.7591,                  2.129,              0.0006535,              0.0006535,              0.0006535
                     73,                 1.4288,                 3.4994,                 1.6806,                0.74144,                0.49325,                0.61935,                0.31348,                 1.7538,                 5.2366,                 2.0768,             0.00064855,             0.00064855,             0.00064855
                     74,                 1.4308,                 3.5164,                 1.6919,                0.88565,                0.49882,                0.60485,                0.29737,                 1.8599,                 5.2876,                 2.1599,              0.0006436,              0.0006436,              0.0006436
                     75,                 1.4196,                 3.4815,                 1.6769,                0.70471,                0.49008,                0.60213,                 0.3165,                 1.8075,                 5.4917,                 2.1044,             0.00063865,             0.00063865,             0.00063865
                     76,                 1.4051,                  3.422,                 1.6618,                0.76063,                0.52919,                0.62684,                0.32497,                 1.7905,                  5.315,                 2.0821,              0.0006337,              0.0006337,              0.0006337
                     77,                 1.4094,                 3.4233,                 1.6722,                0.62565,                0.54878,                0.61609,                0.31205,                 1.8222,                 5.1294,                  2.146,             0.00062875,             0.00062875,             0.00062875
                     78,                  1.411,                 3.4475,                 1.6795,                0.75416,                0.49885,                0.60834,                0.29563,                 1.8589,                 5.6337,                 2.1555,              0.0006238,              0.0006238,              0.0006238
                     79,                 1.3871,                 3.4375,                 1.6732,                 0.7012,                0.51299,                0.58953,                0.29602,                 1.8083,                 5.6417,                 2.1079,             0.00061885,             0.00061885,             0.00061885
                     80,                 1.3885,                 3.3878,                 1.6643,                0.75782,                0.50114,                0.58595,                0.28914,                 1.8362,                 5.8206,                 2.1318,              0.0006139,              0.0006139,              0.0006139
                     81,                 1.4017,                 3.3094,                 1.6532,                0.73592,                0.48063,                0.59219,                0.28275,                 1.8742,                 5.3856,                 2.1372,             0.00060895,             0.00060895,             0.00060895
                     82,                 1.4086,                 3.4401,                 1.6631,                 0.8669,                0.47594,                 0.5887,                0.28396,                 1.8524,                 5.8329,                 2.1503,               0.000604,               0.000604,               0.000604
                     83,                 1.4179,                 3.3318,                 1.6662,                0.63894,                 0.5241,                0.59221,                0.28965,                  1.888,                 5.2625,                 2.1635,             0.00059905,             0.00059905,             0.00059905
                     84,                 1.3953,                 3.3604,                 1.6716,                0.63731,                 0.5626,                0.61043,                0.30654,                 1.7989,                 5.4097,                 2.1226,              0.0005941,              0.0005941,              0.0005941
                     85,                 1.3965,                 3.2761,                 1.6528,                0.68777,                0.52863,                0.60192,                0.31008,                 1.8043,                 5.3863,                 2.1145,             0.00058915,             0.00058915,             0.00058915
                     86,                 1.3837,                 3.3078,                 1.6484,                0.80402,                0.54712,                0.63478,                0.30789,                 1.8376,                 5.0964,                 2.1243,              0.0005842,              0.0005842,              0.0005842
