epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,573.872,1.05035,1.94816,1.3853,0.72071,0.6409,0.69655,0.35105,1.9226,4.26191,2.29737,0.0004555,0.0004555,0.0004555
112,578.893,1.03249,1.93711,1.38156,0.67167,0.63594,0.66447,0.32286,2.00962,4.39132,2.41833,0.00045055,0.00045055,0.00045055
113,583.926,1.04965,1.95817,1.38564,0.66904,0.65889,0.67388,0.32102,1.96758,4.12631,2.34542,0.0004456,0.0004456,0.0004456
114,589.213,1.02873,1.93151,1.37304,0.67269,0.60797,0.6574,0.31835,2.0295,4.29651,2.42412,0.00044065,0.00044065,0.00044065
115,594.253,1.03915,1.95996,1.38076,0.67529,0.66564,0.69779,0.35492,1.96844,4.30024,2.38163,0.0004357,0.0004357,0.0004357
116,599.238,1.04575,1.9519,1.38451,0.63517,0.63347,0.64926,0.32596,1.97982,4.4107,2.35187,0.00043075,0.00043075,0.00043075
117,604.25,1.02494,1.92486,1.3728,0.65794,0.63453,0.6797,0.33248,1.96273,4.23293,2.35082,0.0004258,0.0004258,0.0004258
118,609.255,1.03283,1.9547,1.37763,0.64673,0.69357,0.681,0.33182,1.97471,4.22021,2.34962,0.00042085,0.00042085,0.00042085
119,614.287,1.0308,1.90858,1.35791,0.66785,0.63723,0.66702,0.31435,2.08623,4.47634,2.48105,0.0004159,0.0004159,0.0004159
120,619.296,1.01875,1.86544,1.36247,0.64284,0.64611,0.6595,0.33181,2.04896,4.20352,2.43885,0.00041095,0.00041095,0.00041095
121,624.287,1.01207,1.86748,1.36313,0.68218,0.66828,0.67983,0.34734,1.95493,4.03565,2.35594,0.000406,0.000406,0.000406
122,629.326,1.02042,1.9035,1.37056,0.64158,0.66545,0.68479,0.34564,1.98166,4.24234,2.37275,0.00040105,0.00040105,0.00040105
123,634.334,1.00153,1.83467,1.35105,0.71987,0.66361,0.70561,0.34978,1.98346,4.13356,2.39468,0.0003961,0.0003961,0.0003961
124,639.348,0.9888,1.82718,1.34134,0.69665,0.6512,0.70261,0.35889,1.97426,4.4153,2.39924,0.00039115,0.00039115,0.00039115
125,644.462,1.02915,1.90626,1.35827,0.6366,0.66199,0.68202,0.34237,2.07413,4.24507,2.48232,0.0003862,0.0003862,0.0003862
126,649.517,1.00162,1.87131,1.3587,0.70914,0.64627,0.68471,0.34476,2.0402,4.26493,2.43862,0.00038125,0.00038125,0.00038125
127,654.577,1.00186,1.84463,1.35644,0.68945,0.63696,0.67019,0.33699,2.04345,4.61455,2.42129,0.0003763,0.0003763,0.0003763
128,659.637,0.99587,1.81254,1.34761,0.68272,0.62947,0.67395,0.32448,2.02608,4.39764,2.4391,0.00037135,0.00037135,0.00037135
129,664.704,0.97937,1.78957,1.33671,0.69308,0.66593,0.69785,0.34916,1.98367,4.28343,2.37653,0.0003664,0.0003664,0.0003664
130,669.77,0.95293,1.74562,1.3194,0.68495,0.63485,0.66895,0.34441,2.02341,4.55445,2.38721,0.00036145,0.00036145,0.00036145
131,674.839,0.98359,1.80166,1.33609,0.64084,0.64886,0.65943,0.33806,2.03589,4.36121,2.45796,0.0003565,0.0003565,0.0003565
132,679.884,0.95737,1.74931,1.318,0.7418,0.65576,0.69736,0.35431,1.94733,4.16635,2.35413,0.00035155,0.00035155,0.00035155
133,684.957,0.98074,1.76336,1.32332,0.60475,0.58477,0.59401,0.27771,2.1184,4.62676,2.52069,0.0003466,0.0003466,0.0003466
